Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
maxSW,500.aparc,0.03,Participation Coefficient,lh_medialorbitofrontal_part2,0.6172131200694515,0.2358681398272911,-0.3813449802421604
maxSW,500.aparc,0.03,Participation Coefficient,lh_medialorbitofrontal_part3,0.2773739465778895,0.0,-0.2773739465778895
maxSW,500.aparc,0.03,Participation Coefficient,lh_middletemporal_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_middletemporal_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_middletemporal_part3,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_middletemporal_part4,0.0,0.6268854624735026,0.6268854624735026
maxSW,500.aparc,0.03,Participation Coefficient,lh_middletemporal_part5,0.0,0.3915008849687228,0.3915008849687228
maxSW,500.aparc,0.03,Participation Coefficient,lh_paracentral_part1,0.20111852009708914,0.4412249870144451,0.240106466917356
maxSW,500.aparc,0.03,Participation Coefficient,lh_paracentral_part2,0.10033062637847466,0.0,-0.10033062637847466
maxSW,500.aparc,0.03,Participation Coefficient,lh_paracentral_part3,0.7885614064994605,0.6345469222240012,-0.15401448427545927
maxSW,500.aparc,0.03,Participation Coefficient,lh_parahippocampal_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_parahippocampal_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_parsopercularis_part1,0.3018791761360399,0.9017065935357386,0.5998274173996987
maxSW,500.aparc,0.03,Participation Coefficient,lh_parsopercularis_part2,0.2869188673035848,0.5817829983355572,0.29486413103197245
maxSW,500.aparc,0.03,Participation Coefficient,lh_parsopercularis_part3,0.0,0.17356283217485716,0.17356283217485716
maxSW,500.aparc,0.03,Participation Coefficient,lh_parsorbitalis_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_parstriangularis_part1,0.0,0.29294051522809744,0.29294051522809744
maxSW,500.aparc,0.03,Participation Coefficient,lh_parstriangularis_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_pericalcarine_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_pericalcarine_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_postcentral_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_postcentral_part2,0.5429285364043572,0.38374001288635057,-0.15918852351800666
maxSW,500.aparc,0.03,Participation Coefficient,lh_postcentral_part3,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_postcentral_part4,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_postcentral_part5,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_postcentral_part6,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_postcentral_part7,0.8847539451288732,0.6932631143953748,-0.19149083073349837
maxSW,500.aparc,0.03,Participation Coefficient,lh_postcentral_part8,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_posteriorcingulate_part1,0.21628756165037963,0.3119251627609536,0.09563760111057398
maxSW,500.aparc,0.03,Participation Coefficient,lh_posteriorcingulate_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part1,0.19557957767116588,0.7522754290245579,0.5566958513533921
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part2,0.4080306538602116,0.7822273025939829,0.3741966487337713
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part3,0.7544240852844164,0.7155223136558826,-0.03890177162853381
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part4,0.13819071310894696,0.7282985098498473,0.5901077967409004
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part5,0.6978157585921023,0.751630993015161,0.05381523442305869
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part6,0.0,0.23111116341897925,0.23111116341897925
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part7,0.844370127272218,0.7942892473039338,-0.05008087996828425
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part8,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_precentral_part9,0.48388310893553094,0.35813726375941085,-0.12574584517612009
maxSW,500.aparc,0.03,Participation Coefficient,lh_precuneus_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_precuneus_part2,0.6528304111948339,0.5388777880231288,-0.11395262317170507
maxSW,500.aparc,0.03,Participation Coefficient,lh_precuneus_part3,0.0,0.18522891449189588,0.18522891449189588
maxSW,500.aparc,0.03,Participation Coefficient,lh_precuneus_part4,0.0,0.24992560183590107,0.24992560183590107
maxSW,500.aparc,0.03,Participation Coefficient,lh_precuneus_part5,0.6542020870427078,0.6446112003440251,-0.009590886698682688
maxSW,500.aparc,0.03,Participation Coefficient,lh_precuneus_part6,0.7446331604537664,0.21245920455312867,-0.5321739559006378
maxSW,500.aparc,0.03,Participation Coefficient,lh_precuneus_part7,0.8708154327500507,0.8718956757136976,0.001080242963646949
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralanteriorcingulate_part1,0.5431668809043162,0.0,-0.5431668809043162
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal_part10,0.7088765139247934,0.4666351439959224,-0.24224136992887108
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal_part3,0.0,0.7994169989062355,0.7994169989062355
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal_part4,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal_part5,0.603540086725624,0.6293126303935135,0.025772543667889503
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal_part6,0.0,0.3051278365613679,0.3051278365613679
maxSW,500.aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal_part7,0.0,0.0,0.0
