Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
MSN,aparc,0.03,Participation Coefficient,rh_rostralmiddlefrontal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,rh_superiorfrontal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,rh_superiorparietal,0.0,0.7959169818059081,0.7959169818059081
MSN,aparc,0.03,Participation Coefficient,rh_superiortemporal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,rh_supramarginal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,rh_frontalpole,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,rh_temporalpole,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,rh_transversetemporal,0.7941709121621102,0.0,-0.7941709121621102
MSN,aparc,0.03,Participation Coefficient,rh_insula,0.0,0.0,0.0
MSN,aparc,0.03,Node Versatility,lh_bankssts,0.9935374326260903,0.0,-0.9935374326260903
MSN,aparc,0.03,Node Versatility,lh_caudalanteriorcingulate,1.0,0.11252946041039012,-0.8874705395896099
MSN,aparc,0.03,Node Versatility,lh_caudalmiddlefrontal,0.9935374326260903,0.11252946041039012,-0.8810079722157002
MSN,aparc,0.03,Node Versatility,lh_cuneus,0.06975855255421408,0.22650140947377922,0.15674285691956513
MSN,aparc,0.03,Node Versatility,lh_entorhinal,0.47510058844728087,0.0,-0.47510058844728087
MSN,aparc,0.03,Node Versatility,lh_fusiform,0.651001182543852,0.05001171164310176,-0.6009894709007502
MSN,aparc,0.03,Node Versatility,lh_inferiorparietal,0.38786244352199717,0.5097623919600416,0.12189994843804441
MSN,aparc,0.03,Node Versatility,lh_inferiortemporal,0.7999046758387817,0.008543508501961512,-0.7913611673368202
MSN,aparc,0.03,Node Versatility,lh_isthmuscingulate,0.3040053112826627,0.0,-0.3040053112826627
MSN,aparc,0.03,Node Versatility,lh_lateraloccipital,0.16534119974249542,0.2316568762241156,0.06631567648162018
MSN,aparc,0.03,Node Versatility,lh_lateralorbitofrontal,0.3040053112826627,0.1111528971933583,-0.19285241408930442
MSN,aparc,0.03,Node Versatility,lh_lingual,0.06975855255421408,0.5434779872962443,0.4737194347420302
MSN,aparc,0.03,Node Versatility,lh_medialorbitofrontal,0.16534119974249542,0.1111528971933583,-0.05418830254913712
MSN,aparc,0.03,Node Versatility,lh_middletemporal,0.28721301419638967,0.008543508501961512,-0.27866950569442817
